,Ticker,Denominação social,Nome de pregão,CNPJ
,CLSC3,Celesc,CENTRAIS ELET DE SANTA CATARINA S.A.,83878892000155
,CLSC4,Celesc,CENTRAIS ELET DE SANTA CATARINA S.A.,83878892000155
,CMIG3,Cemig,CIA ENERGETICA DE MINAS GERAIS – CEMIG,17155730000164
,CMIG4,Cemig,CIA ENERGETICA DE MINAS GERAIS – CEMIG,17155730000164
,CMIN3,Csn Mineracao,CSN MINERAÇÃO S.A.,08902291000115
,CMSA3,Cims,CIMS S.A.,00272185000193
,CMSA4,Cims,CIMS S.A.,00272185000193
,CNSY3,Cinesystem,CINESYSTEM S.A.,07437016000105
,COCE3,Coelce,CIA ENERGETICA DO CEARA – COELCE,07047251000170
,COCE5,Coelce,CIA ENERGETICA DO CEARA – COELCE,07047251000170
,COCE6,Coelce,CIA ENERGETICA DO CEARA – COELCE,07047251000170
,COGN3,Cogna ON,COGNA EDUCAÇÃO S.A.,02800026000140
,COMR3,Comerc,COMERC PARTICIPACOES S.A,25369840000157
,CORR3,Cor Ribeiro,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,15101405000193
,CORR4,Cor Ribeiro,CORREA RIBEIRO S.A. COMERCIO E INDUSTRIA,15101405000193
,CPFE3,CPFL Energia,CPFL ENERGIA S.A.,02429144000193
,CPLE11,Copel,CIA PARANAENSE DE ENERGIA – COPEL,76483817000120
,CPLE3,Copel,CIA PARANAENSE DE ENERGIA – COPEL,76483817000120
,CPLE5,Copel,CIA PARANAENSE DE ENERGIA – COPEL,76483817000120
,CPLE6,Copel,CIA PARANAENSE DE ENERGIA – COPEL,76483817000120
,CRDE3,Cr2,CR2 EMPREENDIMENTOS IMOBILIARIOS S.A.,07820907000146
,CRFB3,Carrefour BR,ATACADÃO S.A.,75315333000109
,CRIV3,Alfa Financ,FINANCEIRA ALFA S.A.- CRED FINANC E INVS,17167412000113
,CRIV4,Alfa Financ,FINANCEIRA ALFA S.A.- CRED FINANC E INVS,17167412000113
,CRPG3,Cristal,TRONOX PIGMENTOS DO BRASIL S.A.,15115504000124
,CRPG5,Cristal,TRONOX PIGMENTOS DO BRASIL S.A.,15115504000124
,CRPG6,Cristal,TRONOX PIGMENTOS DO BRASIL S.A.,15115504000124
,CRTE3B,Conc Rio Ter,CONC RIO-TERESOPOLIS S.A.,00938574000105
,CRTE5B,Conc Rio Ter,CONC RIO-TERESOPOLIS S.A.,00938574000105
,CSAB3,Seg Al Bahia,CIA SEGUROS ALIANCA DA BAHIA,15144017000190
,CSAB4,Seg Al Bahia,CIA SEGUROS ALIANCA DA BAHIA,15144017000190
,CSAN3,Cosan,COSAN S.A.,50746577000115
,CSED3,Cruzeiro Edu,CRUZEIRO DO SUL EDUCACIONAL S.A.,62984091000102
,CSMG3,Copasa,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG,17281106000103
,CSNA3,Sid Nacional,CIA SIDERURGICA NACIONAL,33042730000104
,CSRN3,Cosern,CIA ENERGETICA DO RIO GDE NORTE – COSERN,08324196000181
,CSRN5,Cosern,CIA ENERGETICA DO RIO GDE NORTE – COSERN,08324196000181
,CSRN6,Cosern,CIA ENERGETICA DO RIO GDE NORTE – COSERN,08324196000181
,CSUD3,CSU DIGITAL,CSU DIGITAL S.A.,01896779000138
,CTCA3,Ctc S.A.,CTC – CENTRO DE TECNOLOGIA CANAVIEIRA S.A.,06981381000113
,CTKA3,Karsten,KARSTEN S.A.,82640558000104
,CTKA4,Karsten,KARSTEN S.A.,82640558000104
,CTNM3,Coteminas,CIA TECIDOS NORTE DE MINAS COTEMINAS,22677520000176
,CTNM4,Coteminas,CIA TECIDOS NORTE DE MINAS COTEMINAS,22677520000176
,CTSA3,Santanense,CIA TECIDOS SANTANENSE,21255567000189
,CTSA4,Santanense,CIA TECIDOS SANTANENSE,21255567000189
,CURY3,Cury S/A,CURY CONSTRUTORA E INCORPORADORA S.A.,08797760000183
,CVCB3,Cvc Brasil,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.,10760260000119
,CXSE3,Caixa Seguri,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,22543331000100
,CYRE3,Cyrela Realt,CYRELA BRAZIL REALTY S.A.EMPREEND E PART,73178600000118
,DASA3,Dasa,DIAGNOSTICOS DA AMERICA S.A.,61486650000183
,DESK3,Desktopsigma,DESKTOP - SIGMANET COMUNICAÇÃO MULTIMÍDIA S.A,08170849000115
,DEXP3,Dexxos Par,DEXXOS PARTICIPACOES S.A.,02193750000152
,DEXP4,Dexxos Par,DEXXOS PARTICIPACOES S.A.,02193750000152
,DIRR3,Direcional,DIRECIONAL ENGENHARIA S.A.,16614075000100
,DMFN3,DMFINANCEIRA,DM FINANCEIRA S.A. - CRÉDITO. FINANC E INVEST,91669747000192
,DMVF3,D1000vfarma,D1000 VAREJO FARMA PARTICIPAÇÕES S.A.,12108897000150
,DOHL3,Dohler,DOHLER S.A.,84683408000103
,DOHL4,Dohler,DOHLER S.A.,84683408000103
,DOTZ3,Dotz SA,DOTZ S.A.,18174270000184
,DTCY3,Dtcom Direct,DTCOM – DIRECT TO COMPANY S.A.,03303999000136
,DTCY4,Dtcom Direct,DTCOM – DIRECT TO COMPANY S.A.,03303999000136
,DXCO3,Dexco,DURATEX S.A.,97837181000147
,EALT3,Aco Altona,ELECTRO ACO ALTONA S.A.,82643537000134
,EALT4,Aco Altona,ELECTRO ACO ALTONA S.A.,82643537000134
,ECOR3,Ecorodovias,ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.,04149454000180
,EEEL3,Ceee-T,CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,92715812000131
,EEEL4,Ceee-T,CIA ESTADUAL GER.TRANS.ENER.ELET-CEEE-GT,92715812000131
,EGIE3,Engie Brasil,ENGIE BRASIL ENERGIA S.A.,02474103000119
,EKTR3,Elektro,ELEKTRO REDES S.A.,02328280000197
,EKTR4,Elektro,ELEKTRO REDES S.A.,02328280000197
,ELET3,Eletrobras,CENTRAIS ELET BRAS S.A. – ELETROBRAS,00001180000126
,ELET5,Eletrobras,CENTRAIS ELET BRAS S.A. – ELETROBRAS,00001180000126
,ELET6,Eletrobras,CENTRAIS ELET BRAS S.A. – ELETROBRAS,00001180000126
,ELMD3,Eletromidia,ELETROMIDIA S.A.,09347516000181
,EMAE3,Emae,EMAE – EMPRESA METROP.AGUAS ENERGIA S.A.,02302101000142
,EMAE4,Emae,EMAE – EMPRESA METROP.AGUAS ENERGIA S.A.,02302101000142
,EMBR3,Embraer,EMBRAER S.A.,07689002000189
,ENAT3,Enauta Part,ENAUTA PARTICIPAÇÕES S.A.,11669021000110
,ENBR3,Energias BR,EDP – ENERGIAS DO BRASIL S.A.,03983431000103
,ENEV3,Eneva,ENEVA S.A,04423567000121
,ENGI11,Energisa,ENERGISA S.A.,00864214000106
,ENGI3,Energisa,ENERGISA S.A.,00864214000106
,ENGI4,Energisa,ENERGISA S.A.,00864214000106
,ENJU3,Enjoei,ENJOEI.COM.BR ATIVIDADES DE INTERNET S.A.,16922038000151
,ENMT3,Energisa Mt,ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A,03467321000199
